slug,title_ar,title_en,description_ar,description_en,portal,portal_url,ministry_ar,ministry_en,category_ar,category_en,tags,penalty_ar,penalty_en,related_slugs,last_updated
power-of-attorney-najiz,إصدار وكالة إلكترونية عبر ناجز,Issue power of attorney via Najiz,تمكّنك هذه الخدمة من إصدار وكالة شرعية إلكترونية (عامة أو خاصة) عبر بوابة ناجز دون الحاجة لزيارة كتابة العدل.,This service enables you to issue an electronic power of attorney (general or specific) via the Najiz portal without visiting a notary office.,بوابة ناجز,https://www.najiz.sa,وزارة العدل,Ministry of Justice,خدمات عدلية,Justice Services,"بوابة ناجز|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,marriage-contract-najiz,########
property-deed-transfer-najiz,نقل ملكية عقار (إفراغ) عبر ناجز,Transfer property ownership via Najiz,تتيح هذه الخدمة نقل ملكية عقار من البائع إلى المشتري إلكترونياً عبر بوابة ناجز، دون الحاجة لزيارة كتابة العدل.,"This service allows the transfer of property ownership from seller to buyer electronically via the Najiz portal, without visiting a notary office.",بوابة ناجز,https://www.najiz.sa,وزارة العدل,Ministry of Justice,خدمات عدلية,Justice Services,"بوابة ناجز|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,"power-of-attorney-najiz, ejar-rental-contract",########
register-national-address,تسجيل وتحديث العنوان الوطني عبر سبل,Register or update national address via Subol,العنوان الوطني مطلوب لمعظم الخدمات الحكومية والبنكية. تتيح لك هذه الخدمة تسجيل عنوانك أو تحديثه عبر منصة سبل (البريد السعودي سابقاً).,A national address is required for most government and banking services. This service allows you to register or update your address via the Subol platform (formerly Saudi Post).,منصة سبل,https://www.spl.com.sa,مؤسسة البريد السعودي (سبل),Saudi Post (SPL / Subol),خدمات عامة,General Services,"منصة سبل|info, مطلوب لمعظم الخدمات|warning, آخر تحديث: مارس 2026|warning",,,issue-commercial-registration,########
renew-commercial-registration,تجديد السجل التجاري عبر المركز السعودي للأعمال,Renew commercial registration via Saudi Business Center,تتيح لك هذه الخدمة تجديد السجل التجاري لمنشأتك إلكترونياً قبل انتهائه لتجنب الغرامات والشطب.,This service allows you to renew your commercial registration electronically before it expires to avoid fines and deregistration.,المركز السعودي للأعمال,https://business.sa,وزارة التجارة,Ministry of Commerce,خدمات تجارية,Business Services,"المركز السعودي للأعمال|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning","عدم التجديد خلال 30 يوماً من الانتهاء يعرّض المنشأة لغرامة تصل إلى 10,000 ر.س وقد يؤدي للشطب","Failure to renew within 30 days of expiry exposes the business to fines up to SAR 10,000 and possible deregistration","issue-commercial-registration, issue-municipal-license",########
renew-domestic-worker-visa,تجديد تأشيرة العمالة المنزلية,Renew domestic worker visa,تتيح هذه الخدمة لصاحب العمل تجديد تأشيرة العمالة المنزلية (خادمة، سائق، مربية) إلكترونياً عبر منصة مساند أو أبشر.,"This service allows employers to renew a domestic worker visa (maid, driver, nanny) electronically via Musaned or Absher.",مساند / أبشر,https://www.musaned.com.sa,وزارة الموارد البشرية,Ministry of Human Resources,خدمات التأشيرات,Visa Services,عمالة منزلية|info,,,"musaned-domestic-worker-visa, renew-iqama",2026-03-18
renew-driving-license,تجديد رخصة القيادة عبر أبشر,Renew driving license via Absher,تمكّنك هذه الخدمة من تجديد رخصة القيادة للمواطنين والمقيمين إلكترونياً عبر منصة أبشر دون الحاجة لزيارة إدارة المرور.,This service enables citizens and residents to renew their driving license electronically via Absher without visiting the Traffic Department.,أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر أفراد|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",غرامة تأخير التجديد تتراوح بين 100-150 ر.س، والقيادة برخصة منتهية مخالفة مرورية,"Late renewal fine ranges from SAR 100-150, and driving with an expired license is a traffic violation","pay-traffic-fines, vehicle-registration-renewal",########
renew-ejar-contract,تجديد عقد إيجار إلكتروني عبر إيجار,Renew rental contract via Ejar,تتيح هذه الخدمة تجديد عقد الإيجار السكني أو التجاري الموثق إلكترونياً قبل انتهائه عبر منصة إيجار.,This service allows renewal of a registered residential or commercial rental contract electronically before it expires via the Ejar platform.,منصة إيجار,https://www.ejar.sa,وزارة الشؤون البلدية والقروية والإسكان,"Ministry of Municipal, Rural Affairs and Housing",خدمات الإسكان,Housing Services,"منصة إيجار|info, موافقة الطرفين مطلوبة|warning, آخر تحديث: مارس 2026|warning",,,"ejar-rental-contract, register-national-address",########
renew-health-insurance,تجديد التأمين الصحي عبر مجلس الضمان,Renew health insurance via CCHI,التأمين الصحي إلزامي لجميع المقيمين وموظفي القطاع الخاص. يمكن التحقق من حالته وتجديده عبر مجلس الضمان الصحي.,Health insurance is mandatory for all residents and private sector employees. You can check its status and renew it via the Council of Health Insurance.,مجلس الضمان الصحي,https://www.chi.gov.sa,مجلس الضمان الصحي التعاوني,Council of Cooperative Health Insurance (CCHI),خدمات صحية,Health Services,"مجلس الضمان الصحي|info, إلزامي للمقيمين|warning, آخر تحديث: مارس 2026|warning",عدم وجود تأمين صحي ساري يمنع تجديد الإقامة,Not having valid health insurance prevents Iqama renewal,"renew-iqama, renew-work-permit",########
renew-iqama,تجديد هوية مقيم عبر أبشر,Renew resident identity (Iqama) via Absher,تمكّنك هذه الخدمة من تجديد هوية مقيم (إقامة) لأحد أفراد أسرتك أو العمالة المنزلية إلكترونياً عبر منصة أبشر، دون الحاجة لزيارة الجوازات.,"This service enables you to renew a resident identity (Iqama) for your family members or domestic workers electronically via Absher, without visiting the Passport office.",أبشر أفراد / أعمال,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أفراد / أعمال|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning","غرامة التأخير: 500 ر.س للمرة الأولى — 1,000 ر.س للتكرار — الإبعاد للمرة الثالثة","Late renewal fine: SAR 500 first time — SAR 1,000 repeat — deportation third time","transfer-sponsorship, issue-exit-reentry-visa, renew-work-permit",########
renew-national-id,تجديد الهوية الوطنية عبر أبشر,Renew national ID (Hawiyya) via Absher,تتيح لك هذه الخدمة تجديد بطاقة الهوية الوطنية السعودية إلكترونياً عبر منصة أبشر، وتوصيلها لعنوانك الوطني.,"This service allows you to renew your Saudi national ID card electronically via Absher, with delivery to your national address.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الأحوال المدنية,Civil Affairs,"أبشر أفراد|info, للمواطنين فقط|warning, آخر تحديث: مارس 2026|warning",غرامة تأخير تجديد الهوية تصل إلى 100 ر.س,Late ID renewal fine up to SAR 100,"renew-saudi-passport, register-national-address",########
renew-saudi-passport,إصدار وتجديد جواز السفر السعودي عبر أبشر,Issue or renew Saudi passport via Absher,تمكّنك هذه الخدمة من إصدار جواز سفر سعودي جديد أو تجديد جواز منتهي إلكترونياً عبر منصة أبشر، مع إمكانية توصيله لعنوانك الوطني.,"This service enables you to issue a new Saudi passport or renew an expired one electronically via Absher, with delivery to your national address.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أفراد|info, للمواطنين فقط|warning, آخر تحديث: مارس 2026|warning",,,"renew-iqama, exit-reentry-visa",########
renew-work-permit,إصدار وتجديد رخصة عمل عبر قوى,Issue or renew work permit via Qiwa,تتيح هذه الخدمة لأصحاب المنشآت إصدار أو تجديد رخص العمل للعمالة الوافدة إلكترونياً عبر منصة قوى، وهي مطلوبة لتجديد الإقامة.,This service allows business owners to issue or renew work permits for foreign workers electronically via the Qiwa platform. Work permits are required for Iqama renewal.,منصة قوى,https://www.qiwa.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمل,Labor Services,"منصة قوى|info, مطلوبة لتجديد الإقامة|warning, آخر تحديث: مارس 2026|warning",رخصة العمل المنتهية تمنع تجديد الإقامة وقد تؤثر على نطاقات المنشأة,An expired work permit prevents Iqama renewal and may affect the establishment's Nitaqat rating,"renew-iqama, transfer-sponsorship",########
replacement-national-id,إصدار بدل فاقد أو تالف للهوية الوطنية عبر أبشر,Issue replacement national ID (lost or damaged) via Absher,تتيح لك هذه الخدمة إصدار بطاقة هوية وطنية بدل فاقد أو تالف إلكترونياً عبر أبشر، مع إمكانية توصيلها لعنوانك الوطني.,"This service allows you to issue a replacement national ID card (lost or damaged) electronically via Absher, with delivery to your national address.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الأحوال المدنية,Civil Affairs,"أبشر أفراد|info, للمواطنين فقط|warning, آخر تحديث: مارس 2026|warning",غرامة فقدان الهوية قد تصل إلى 100 ر.س في حال التكرار,The fine for losing an ID card can reach SAR 100 for repeat cases,"renew-national-id, absher-account-registration",########
report-absconding-musaned,تقديم بلاغ تغيب عمالة منزلية عبر مساند,Report absconding domestic worker via Musaned,تتيح هذه الخدمة لصاحب العمل تقديم بلاغ تغيب على عامل منزلي ترك العمل بدون سبب مشروع.,This service allows employers to file an absconding report against a domestic worker who left work without a legitimate reason.,منصة مساند,https://www.musaned.com.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمالة المنزلية,Domestic Worker Services,"منصة مساند|info, خلال 15 يوم من التغيب|warning, آخر تحديث: مارس 2026|warning",,,"musaned-domestic-worker-visa, musaned-transfer-domestic-worker",########
road-issue-report,بلاغ عن مشكلة في الطريق عبر تطبيق بلاغ,Report road issue via Balagh app,تتيح هذه الخدمة الإبلاغ عن مشاكل الطرق (حفر، إضاءة معطلة، لوحات مفقودة، حواجز تالفة) عبر تطبيق بلاغ التابع لوزارة النقل.,"This service allows you to report road problems (potholes, broken lights, missing signs, damaged barriers) via the Balagh app of the Ministry of Transport.",تطبيق بلاغ,https://www.mot.gov.sa,وزارة النقل والخدمات اللوجستية,Ministry of Transport and Logistic Services,خدمات عامة,General Services,"تطبيق بلاغ|info, مجاني للجميع|success, آخر تحديث: مارس 2026|warning",,,"absher-account-registration, tawakkalna-setup",########
sakani-housing-support,التقديم على دعم سكني عبر سكني,Apply for housing support via Sakani,برنامج سكني يوفر حلولاً سكنية متنوعة للمواطنين السعوديين تشمل: أراضي مجانية، وحدات سكنية جاهزة، وتمويل عقاري مدعوم.,"The Sakani program provides various housing solutions for Saudi citizens including: free land, ready housing units, and subsidized real estate financing.",منصة سكني,https://sakani.sa,وزارة الشؤون البلدية والقروية والإسكان,"Ministry of Municipal, Rural Affairs and Housing",خدمات الإسكان,Housing Services,"للمواطنين السعوديين فقط|info, دعم حكومي|success",,,"ejar-rental-contract, register-national-address",2026-03-18
saned-unemployment,التقديم على إعانة ساند (التعطل عن العمل),Apply for SANED unemployment benefit,نظام ساند يوفر تعويضاً شهرياً للمواطنين السعوديين الذين فقدوا وظائفهم لأسباب خارجة عن إرادتهم، لمدة تصل إلى 12 شهراً.,"The SANED system provides monthly compensation for Saudi citizens who lost their jobs for reasons beyond their control, for up to 12 months.",التأمينات أون لاين,https://www.gosi.gov.sa,المؤسسة العامة للتأمينات الاجتماعية,General Organization for Social Insurance (GOSI),خدمات التأمينات,Insurance Services,"التأمينات أون لاين|info, للسعوديين فقط|warning, آخر تحديث: مارس 2026|warning",,,"gosi-certificate, jadarat-job-search",########
saudi-business-visa,إصدار تأشيرة عمل (استقدام) عبر قوى,Issue work visa via Qiwa,تتيح هذه الخدمة لأصحاب المنشآت إصدار تأشيرة عمل لاستقدام عمالة من خارج المملكة عبر منصة قوى.,This service allows business owners to issue a work visa to recruit workers from outside the Kingdom via the Qiwa platform.,منصة قوى,https://www.qiwa.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمل,Labor Services,"منصة قوى|info, للمنشآت فقط|warning, آخر تحديث: مارس 2026|warning",,,"renew-work-permit, transfer-sponsorship",########
saudi-tourist-evisa,إصدار تأشيرة سياحية إلكترونية (eVisa),Apply for Saudi tourist eVisa,تتيح تأشيرة السياحة الإلكترونية لمواطني أكثر من 60 دولة زيارة المملكة لأغراض السياحة والعمرة والفعاليات، وتصدر خلال دقائق عبر الإنترنت.,"The electronic tourist visa allows citizens of 60+ countries to visit Saudi Arabia for tourism, Umrah, and events. It is issued within minutes online.",منصة Visit Saudi,https://visa.visitsaudi.com,وزارة السياحة / وزارة الخارجية,Ministry of Tourism / MOFA,خدمات التأشيرات,Visa Services,متاحة لـ 60+ جنسية|info,,,"family-visit-visa, hajj-umrah-permit",2026-03-18
school-enrollment,تسجيل طالب في المدارس الحكومية عبر نظام نور,Enroll student in public school via Noor,تتيح هذه الخدمة لولي الأمر تسجيل أبنائه في المدارس الحكومية (ابتدائي، متوسط، ثانوي) عبر نظام نور الإلكتروني.,"This service allows parents to enroll their children in public schools (elementary, middle, high school) via the Noor electronic system.",نظام نور,https://noor.moe.gov.sa,وزارة التعليم,Ministry of Education,خدمات تعليمية,Education Services,"نظام نور|info, فترات تسجيل محددة|warning, آخر تحديث: مارس 2026|warning",,,"absher-account-registration, nafath-setup",########
sehhaty-appointment,حجز موعد عبر تطبيق صحتي,Book appointment via Sehhaty app,تطبيق صحتي هو المنصة الصحية الرسمية في المملكة. يتيح حجز مواعيد في المراكز الصحية والمستشفيات الحكومية، والاطلاع على السجل الصحي والتطعيمات.,"Sehhaty is the official health platform in Saudi Arabia. It allows booking appointments at health centers and government hospitals, and viewing health records and vaccinations.",تطبيق صحتي,https://www.moh.gov.sa/en/eServices/Pages/Sehhaty.aspx,وزارة الصحة,Ministry of Health,خدمات صحية,Health Services,تطبيق جوال|info,,,"renew-health-insurance, nafath-setup",2026-03-18
simah-credit-report,طلب تقرير سمة الائتماني,Request SIMAH credit report,تقرير سمة يوضح سجلك الائتماني لدى البنوك وشركات التمويل. مطلوب عند التقديم على قرض أو بطاقة ائتمانية أو تمويل عقاري.,"The SIMAH report shows your credit history with banks and finance companies. It is required when applying for loans, credit cards, or real estate financing.",سمة الائتمانية,https://www.simah.com,الشركة السعودية للمعلومات الائتمانية (سمة),Saudi Credit Bureau (SIMAH),خدمات مالية,Financial Services,"سمة الائتمانية|info, تقرير مجاني مرة سنوياً|success, آخر تحديث: مارس 2026|warning",,,"absher-account-registration, nafath-setup",########
tawakkalna-setup,التسجيل وتفعيل تطبيق توكلنا خدمات,Set up Tawakkalna Services app,توكلنا هو التطبيق الحكومي الشامل الذي يوفر أكثر من 600 خدمة حكومية، بما في ذلك الهوية الرقمية ورخصة القيادة الرقمية وتصاريح الحج والعمرة.,"Tawakkalna is the comprehensive government app offering over 600 government services, including digital ID, digital driving license, and Hajj/Umrah permits.",تطبيق توكلنا,https://ta.sdaia.gov.sa,الهيئة السعودية للبيانات والذكاء الاصطناعي,Saudi Data and AI Authority (SDAIA),خدمات عامة,General Services,"تطبيق توكلنا|info, 600+ خدمة حكومية|success, آخر تحديث: مارس 2026|warning",,,"nafath-setup, absher-account-registration",########
traffic-violation-objection,الاعتراض على مخالفة مرورية عبر أبشر,Object to traffic violation via Absher,تتيح هذه الخدمة الاعتراض على مخالفة مرورية مسجلة إذا كنت تعتقد أنها غير صحيحة، خلال 30 يوماً من تاريخ تسجيلها.,"This service allows you to object to a registered traffic violation if you believe it is incorrect, within 30 days of its registration date.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر أفراد|info, خلال 30 يوم من المخالفة|warning, آخر تحديث: مارس 2026|warning",,,"pay-traffic-fines, renew-driving-license",########
transfer-sponsorship,نقل خدمات عامل (نقل كفالة) عبر قوى,Transfer worker sponsorship via Qiwa,تتيح هذه الخدمة لأصحاب العمل نقل خدمات عامل من منشأة إلى أخرى إلكترونياً عبر منصة قوى، وذلك وفق ضوابط نظام العمل المحدّثة.,"This service allows employers to transfer worker services from one establishment to another electronically via the Qiwa platform, according to updated labor regulations.",منصة قوى,https://www.qiwa.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمل,Labor Services,"منصة قوى|info, موافقة الطرفين مطلوبة|warning, آخر تحديث: مارس 2026|warning",,,"renew-iqama, renew-work-permit, final-exit-visa",########
university-admission,التقديم على الجامعات عبر بوابة القبول الموحد,Apply to universities via unified admission portal,تتيح بوابات القبول الموحد التقديم على الجامعات والكليات الحكومية إلكترونياً. لكل منطقة بوابة خاصة (الرياض، مكة، الشرقية...).,"Unified admission portals allow electronic applications to government universities and colleges. Each region has its own portal (Riyadh, Makkah, Eastern...).",بوابات القبول الموحد,https://rgu.moe.gov.sa,وزارة التعليم,Ministry of Education,خدمات تعليمية,Education Services,فترة تقديم محدودة|warning,,,school-enrollment,2026-03-18
vehicle-inspection-fahs,إجراء الفحص الدوري للمركبة (فحص),Vehicle periodic inspection (Fahs),الفحص الدوري إلزامي لجميع المركبات في المملكة ومطلوب لتجديد استمارة السيارة. يتم في محطات الفحص المعتمدة.,Periodic vehicle inspection is mandatory for all vehicles in the Kingdom and required for vehicle registration renewal. It is done at approved inspection stations.,محطات الفحص الدوري,https://www.mvpi.com.sa,الهيئة السعودية للمواصفات والمقاييس,"Saudi Standards, Metrology and Quality Organization",خدمات المرور,Traffic Services,"محطات الفحص الدوري|info, مطلوب لتجديد الاستمارة|warning, آخر تحديث: مارس 2026|warning",القيادة بدون فحص دوري ساري مخالفة مرورية وتمنع تجديد الاستمارة,Driving without a valid periodic inspection is a traffic violation and prevents vehicle registration renewal,"vehicle-registration-renewal, vehicle-ownership-transfer",########
vehicle-ownership-transfer,نقل ملكية مركبة عبر أبشر,Transfer vehicle ownership via Absher,تمكّنك هذه الخدمة من نقل ملكية مركبة بين بائع ومشتري إلكترونياً عبر أبشر، دون الحاجة لزيارة إدارة المرور.,"This service enables vehicle ownership transfer between seller and buyer electronically via Absher, without visiting the Traffic Department.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر أفراد|info, موافقة الطرفين مطلوبة|warning, آخر تحديث: مارس 2026|warning",,,"vehicle-registration-renewal, renew-driving-license",########
vehicle-registration-renewal,تجديد استمارة المركبة عبر أبشر,Renew vehicle registration (Istimara) via Absher,تتيح لك هذه الخدمة تجديد رخصة سير المركبة (الاستمارة) إلكترونياً عبر منصة أبشر، بشرط اجتياز الفحص الدوري وتوفر تأمين ساري.,"This service allows you to renew your vehicle registration (Istimara) electronically via Absher, provided you have a valid periodic inspection and active insurance.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر أفراد|info, يتطلب فحص دوري وتأمين|warning, آخر تحديث: مارس 2026|warning",غرامة التأخير في التجديد تتراوح بين 100-150 ر.س، والقيادة باستمارة منتهية مخالفة مرورية,"Late renewal fine ranges from SAR 100-150, and driving with an expired registration is a traffic violation","renew-driving-license, pay-traffic-fines",########
water-connection-nwc,طلب إيصال مياه عبر شركة المياه الوطنية,Request water connection via NWC,تتيح هذه الخدمة طلب إيصال خدمة المياه لعقار جديد أو نقل الحساب إلكترونياً عبر شركة المياه الوطنية.,This service allows you to request water connection for a new property or transfer an account electronically via the National Water Company.,شركة المياه الوطنية (NWC),https://www.nwc.com.sa,شركة المياه الوطنية,National Water Company (NWC),خدمات الإسكان,Housing Services,خدمة إلكترونية|info,,,"electricity-connection-sec, ejar-rental-contract",2026-03-18
zatca-einvoicing-registration,التسجيل في الفوترة الإلكترونية (فاتورة) عبر هيئة الزكاة,Register for e-invoicing (Fatoorah) via ZATCA,الفوترة الإلكترونية إلزامية لجميع المنشآت المسجلة في ضريبة القيمة المضافة. يجب ربط أنظمة الفوترة مع منصة فاتورة التابعة لهيئة الزكاة.,Electronic invoicing is mandatory for all establishments registered for VAT. Invoicing systems must be linked with the ZATCA Fatoora platform.,هيئة الزكاة والضريبة والجمارك,https://zatca.gov.sa,هيئة الزكاة والضريبة والجمارك,"Zakat, Tax and Customs Authority (ZATCA)",خدمات ضريبية,Tax Services,"منصة فاتورة|info, إلزامي لجميع المنشآت|warning, آخر تحديث: مارس 2026|warning","غرامات عدم الامتثال تتراوح بين 5,000 و 50,000 ر.س","Non-compliance fines range from SAR 5,000 to SAR 50,000","zatca-vat-registration, issue-commercial-registration",########
zatca-vat-registration,التسجيل في ضريبة القيمة المضافة عبر هيئة الزكاة,Register for VAT via ZATCA,"يجب على كل منشأة تتجاوز إيراداتها السنوية 375,000 ر.س التسجيل في ضريبة القيمة المضافة (15%) لدى هيئة الزكاة والضريبة والجمارك.","Every establishment with annual revenue exceeding SAR 375,000 must register for Value Added Tax (15%) with the Zakat, Tax and Customs Authority (ZATCA).",هيئة الزكاة والضريبة والجمارك,https://zatca.gov.sa,هيئة الزكاة والضريبة والجمارك,"Zakat, Tax and Customs Authority (ZATCA)",خدمات ضريبية,Tax Services,"هيئة الزكاة والضريبة|info, إلزامي فوق 375|info, 000 ر.س|warning, آخر تحديث: مارس 2026|warning","عدم التسجيل مع تجاوز الحد يعرّض المنشأة لغرامة تصل إلى 10,000 ر.س","Failure to register while exceeding the threshold exposes the establishment to fines up to SAR 10,000","issue-commercial-registration, renew-commercial-registration",########